date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:22	405670/405670	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxicons.eot	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxicons.eot	(from https://bengkeltop24jam.id/assets/vendor/boxicons/css/boxicons.min.css)
15:58:22	321020/321020	---M--	200	added ('OK')	font/woff	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxicons.woff	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxicons.woff	(from https://bengkeltop24jam.id/assets/vendor/boxicons/css/boxicons.min.css)
15:58:23	320944/320944	---M--	200	added ('OK')	font/ttf	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxicons.ttf	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://bengkeltop24jam.id/assets/vendor/boxicons/css/boxicons.min.css)
15:58:23	1242122/1242122	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxicons.svg?	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://bengkeltop24jam.id/assets/vendor/boxicons/css/boxicons.min.css)
15:58:23	525744/525744	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.eot?t=1708865856766	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/remixicon/remixicon117c.eot	(from https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.css)
15:58:23	163200/163200	---M--	200	added ('OK')	font/woff2	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.woff2?t=1708865856766	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/remixicon/remixicon117c.woff2	(from https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.css)
15:58:24	224116/224116	---M--	200	added ('OK')	font/woff	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.woff?t=1708865856766	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/remixicon/remixicon117c.woff	(from https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.css)
15:58:24	525572/525572	---M--	200	added ('OK')	font/ttf	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.ttf?t=1708865856766	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/remixicon/remixicon117c.ttf	(from https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.css)
15:58:24	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Dec%202024%2008:58:24%20GMT	https://bengkeltop24jam.id/assets/img/hero-bg.jpg	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/img/hero-bg.jpg	(from https://bengkeltop24jam.id/assets/css/style.css)
15:58:25	2460531/2460531	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2012%20Mar%202024%2002:49:58%20GMT	https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.svg?t=1708865856766	E:/agung/Pos%20Offline/webbengkel/bengkeltop24jam.id/assets/vendor/remixicon/remixicon117c.svg	(from https://bengkeltop24jam.id/assets/vendor/remixicon/remixicon.css)
